PID,College,Level,lab01,lab01 - Max Points,lab01 - Lateness (H:M:S),lab02,lab02 - Max Points,lab02 - Lateness (H:M:S),project01,project01 - Max Points,project01 - Lateness (H:M:S),lab03,lab03 - Max Points,lab03 - Lateness (H:M:S),project01_free_response,project01_free_response - Max Points,project01_free_response - Lateness (H:M:S),lab04,lab04 - Max Points,lab04 - Lateness (H:M:S),lab05,lab05 - Max Points,lab05 - Lateness (H:M:S),project02_checkpoint01,project02_checkpoint01 - Max Points,project02_checkpoint01 - Lateness (H:M:S),Midterm,Midterm - Max Points,Midterm - Lateness (H:M:S),lab06,lab06 - Max Points,lab06 - Lateness (H:M:S),project02_checkpoint02,project02_checkpoint02 - Max Points,project02_checkpoint02 - Lateness (H:M:S),lab07,lab07 - Max Points,lab07 - Lateness (H:M:S),project02,project02 - Max Points,project02 - Lateness (H:M:S),project02_free_response,project02_free_response - Max Points,project02_free_response - Lateness (H:M:S),lab08,lab08 - Max Points,lab08 - Lateness (H:M:S),lab09,lab09 - Max Points,lab09 - Lateness (H:M:S),project03_checkpoint01,project03_checkpoint01 - Max Points,project03_checkpoint01 - Lateness (H:M:S),project03,project03 - Max Points,project03 - Lateness (H:M:S),Final,Final - Max Points,Final - Lateness (H:M:S),Total Lateness (H:M:S),project05_free_response,project05_free_response - Max Points,project05_free_response - Lateness (H:M:S),project04,project04 - Max Points,project04 - Lateness (H:M:S),project05,project05 - Max Points,project05 - Lateness (H:M:S),discussion01,discussion01 - Max Points,discussion01 - Lateness (H:M:S),discussion02,discussion02 - Max Points,discussion02 - Lateness (H:M:S),discussion03,discussion03 - Max Points,discussion03 - Lateness (H:M:S),discussion04,discussion04 - Max Points,discussion04 - Lateness (H:M:S),discussion05,discussion05 - Max Points,discussion05 - Lateness (H:M:S),discussion06,discussion06 - Max Points,discussion06 - Lateness (H:M:S),discussion07,discussion07 - Max Points,discussion07 - Lateness (H:M:S),discussion08,discussion08 - Max Points,discussion08 - Lateness (H:M:S),discussion09,discussion09 - Max Points,discussion09 - Lateness (H:M:S),discussion10,discussion10 - Max Points,discussion10 - Lateness (H:M:S)
A14600543,RE,SR,96.0,100.0,00:00:00,98.0,100.0,00:00:00,74.0,85.0,00:00:00,95.0,100.0,385:35:30,15.0,15.0,00:00:00,87.0,100.0,00:00:00,70.0,70.0,288:51:34,4.0,10.0,00:00:00,45.0,47.0,00:00:00,73.0,85.0,313:07:17,6.0,10.0,00:00:00,98.0,100.0,00:00:00,75.0,75.0,00:00:00,25.0,25.0,00:00:00,91.0,100.0,00:00:00,50.0,50.0,00:00:00,6.0,10.0,00:00:00,96.0,100.0,00:00:00,75.0,87.0,00:00:00,987:54:39,22.0,25,00:00:00,63.0,75,385:35:30,69.0,75,00:00:00,9.0,10,00:00:00,10.0,10,00:00:00,10.0,10,00:00:00,10.0,10,00:00:00,10.0,10,00:00:00,10.0,10,00:00:00,10.0,10,00:00:00,10.0,10,987:54:39,10.0,10,00:00:00,10.0,10,00:00:00
A14164800,MU,SR,87.0,100.0,00:00:00,46.0,100.0,00:00:00,45.0,85.0,00:00:00,41.0,100.0,00:00:00,8.0,15.0,00:00:00,74.0,100.0,00:00:00,70.0,70.0,00:00:00,10.0,10.0,00:00:00,27.0,47.0,00:00:00,67.0,85.0,764:40:45,10.0,10.0,00:00:00,71.0,100.0,00:04:51,70.0,75.0,00:00:00,25.0,25.0,00:00:00,69.0,100.0,00:00:00,26.0,50.0,00:00:00,0.0,10.0,00:00:00,78.0,100.0,00:00:00,70.0,87.0,00:00:00,828:47:53,13.0,25,00:00:00,44.0,75,00:04:51,50.0,75,00:04:51,7.0,10,00:00:00,7.0,10,828:47:53,6.0,10,00:04:51,6.0,10,00:00:00,6.0,10,00:00:00,7.0,10,00:00:00,6.0,10,00:00:00,6.0,10,00:00:00,7.0,10,00:00:00,6.0,10,00:00:00
A14847309,WA,SR,100.0,100.0,00:00:00,80.0,100.0,00:00:00,85.0,85.0,00:00:00,100.0,100.0,00:00:00,15.0,15.0,00:00:00,89.0,100.0,40:18:06,57.0,70.0,00:00:00,9.0,10.0,00:00:00,38.0,47.0,00:00:00,78.0,85.0,556:32:58,1.0,10.0,00:00:00,84.0,100.0,00:00:00,67.0,75.0,00:00:00,24.0,25.0,00:00:00,86.0,100.0,212:23:22,50.0,50.0,00:00:00,0.0,10.0,00:00:00,89.0,100.0,00:00:00,77.0,87.0,00:00:00,1091:22:58,24.0,25,00:00:00,74.0,75,00:00:00,75.0,75,00:00:00,10.0,10,00:00:00,10.0,10,00:00:00,10.0,10,00:00:00,10.0,10,00:00:00,10.0,10,00:00:00,10.0,10,00:00:00,10.0,10,00:00:00,10.0,10,00:00:00,10.0,10,00:00:00,10.0,10,00:00:00
A14843625,FI,JR,77.0,100.0,00:00:00,100.0,100.0,00:00:00,76.0,85.0,00:00:00,93.0,100.0,00:00:00,13.0,15.0,00:00:00,100.0,100.0,00:00:00,68.0,70.0,00:00:00,7.0,10.0,00:00:00,44.0,47.0,00:00:00,81.0,85.0,418:50:02,10.0,10.0,00:00:00,82.0,100.0,00:00:00,72.0,75.0,00:00:00,25.0,25.0,00:00:00,96.0,100.0,00:00:00,50.0,50.0,00:00:00,3.0,10.0,00:00:00,91.0,100.0,00:00:00,86.0,87.0,00:00:00,945:46:04,22.0,25,00:00:00,67.0,75,00:00:00,73.0,75,00:00:00,9.0,10,00:00:00,10.0,10,00:00:00,10.0,10,00:00:00,10.0,10,00:00:00,10.0,10,418:50:02,9.0,10,00:00:00,10.0,10,00:00:00,10.0,10,00:00:00,10.0,10,00:00:00,10.0,10,00:00:00
A14883274,RE,JR,99.0,100.0,00:00:00,67.0,100.0,00:00:00,61.0,85.0,00:00:00,84.0,100.0,00:00:00,14.0,15.0,00:00:00,94.0,100.0,00:00:00,70.0,70.0,00:00:00,7.0,10.0,00:00:00,45.0,47.0,00:00:00,79.0,85.0,645:24:50,10.0,10.0,00:00:00,96.0,100.0,00:00:00,60.0,75.0,00:00:00,19.0,25.0,00:00:00,92.0,100.0,00:00:00,46.0,50.0,00:00:00,0.0,10.0,00:00:00,85.0,100.0,00:00:00,62.0,87.0,00:00:00,669:12:21,17.0,25,669:12:21,57.0,75,00:00:00,63.0,75,645:24:50,8.0,10,645:24:50,8.0,10,00:00:00,8.0,10,00:00:00,9.0,10,00:00:00,8.0,10,645:24:50,9.0,10,00:00:00,8.0,10,00:00:00,9.0,10,645:24:50,8.0,10,00:00:00,8.0,10,00:00:00
A14781873,TH,SR,96.0,100.0,00:00:00,67.0,100.0,00:00:00,75.0,85.0,00:00:00,94.0,100.0,00:00:00,7.0,15.0,00:00:00,90.0,100.0,47:53:45,52.0,70.0,00:00:00,8.0,10.0,00:00:00,47.0,47.0,00:00:00,73.0,85.0,00:00:00,10.0,10.0,00:00:00,83.0,100.0,00:00:00,51.0,75.0,00:00:00,20.0,25.0,00:00:00,82.0,100.0,00:00:00,43.0,50.0,00:00:00,0.0,10.0,00:00:00,94.0,100.0,00:00:00,75.0,87.0,00:00:00,246:35:39,23.0,25,00:00:00,70.0,75,00:00:00,75.0,75,00:00:00,10.0,10,00:00:00,10.0,10,00:00:00,10.0,10,00:00:00,10.0,10,246:35:39,10.0,10,00:00:00,10.0,10,246:35:39,10.0,10,00:00:00,10.0,10,47:53:45,10.0,10,00:00:00,10.0,10,00:00:00
A14735005,WA,JR,87.0,100.0,00:00:00,96.0,100.0,00:00:00,85.0,85.0,00:00:00,100.0,100.0,00:00:00,11.0,15.0,00:00:00,100.0,100.0,00:00:00,70.0,70.0,270:22:55,4.0,10.0,00:00:00,40.0,47.0,00:00:00,80.0,85.0,00:00:00,10.0,10.0,00:00:00,86.0,100.0,00:00:00,73.0,75.0,00:00:00,25.0,25.0,00:00:00,97.0,100.0,182:37:20,48.0,50.0,00:00:00,0.0,10.0,00:00:00,97.0,100.0,00:00:00,78.0,87.0,00:00:00,453:00:15,25.0,25,00:00:00,75.0,75,00:00:00,75.0,75,270:22:55,10.0,10,00:00:00,10.0,10,00:00:00,10.0,10,00:00:00,10.0,10,00:00:00,10.0,10,00:00:00,10.0,10,00:00:00,10.0,10,00:00:00,10.0,10,270:22:55,10.0,10,00:00:00,10.0,10,182:37:20
A14881757,WA,SR,79.0,100.0,00:00:00,79.0,100.0,00:00:00,57.0,85.0,00:00:00,85.0,100.0,00:00:00,13.0,15.0,00:00:00,81.0,100.0,00:00:00,31.0,70.0,00:00:00,,10.0,00:00:00,34.0,47.0,00:00:00,0.0,85.0,00:00:00,10.0,10.0,00:00:00,,100.0,00:00:00,50.0,75.0,00:00:00,17.0,25.0,00:00:00,45.0,100.0,00:00:00,32.0,50.0,00:00:00,,10.0,00:00:00,,100.0,00:00:00,67.0,87.0,00:00:00,00:00:00,15.0,25,00:00:00,54.0,75,00:00:00,60.0,75,00:00:00,8.0,10,00:00:00,8.0,10,00:00:00,8.0,10,00:00:00,8.0,10,00:00:00,8.0,10,00:00:00,8.0,10,00:00:00,7.0,10,00:00:00,8.0,10,00:00:00,8.0,10,00:00:00,8.0,10,00:00:00
A14235397,SI,SR,80.0,100.0,00:00:00,92.0,100.0,00:00:00,78.0,85.0,00:00:00,98.0,100.0,00:00:00,15.0,15.0,00:00:00,86.0,100.0,00:00:00,70.0,70.0,341:01:51,10.0,10.0,00:00:00,40.0,47.0,00:00:00,78.0,85.0,431:31:19,10.0,10.0,00:00:00,95.0,100.0,00:00:00,72.0,75.0,00:00:00,18.0,25.0,00:00:00,96.0,100.0,00:00:00,48.0,50.0,00:00:00,3.0,10.0,00:00:00,92.0,100.0,00:00:00,84.0,87.0,00:00:00,794:42:09,23.0,25,00:00:00,75.0,75,00:00:00,75.0,75,431:31:19,10.0,10,00:00:00,10.0,10,00:00:00,10.0,10,00:00:00,10.0,10,00:00:00,10.0,10,00:00:00,10.0,10,00:00:00,10.0,10,00:00:00,10.0,10,00:00:00,10.0,10,00:00:00,10.0,10,00:00:00
A14313679,WA,SR,68.0,100.0,00:00:00,90.0,100.0,00:00:00,68.0,85.0,00:00:00,80.0,100.0,268:26:07,15.0,15.0,00:00:00,95.0,100.0,00:00:00,67.0,70.0,00:00:00,9.0,10.0,00:00:00,47.0,47.0,00:00:00,73.0,85.0,00:00:00,10.0,10.0,00:00:00,83.0,100.0,434:14:10,66.0,75.0,00:00:00,21.0,25.0,00:00:00,90.0,100.0,00:00:00,40.0,50.0,00:00:00,5.0,10.0,00:00:00,100.0,100.0,00:00:00,68.0,87.0,00:00:00,702:40:17,17.0,25,00:00:00,64.0,75,00:00:00,70.0,75,00:00:00,9.0,10,00:00:00,9.0,10,00:00:00,9.0,10,00:00:00,10.0,10,00:00:00,8.0,10,00:00:00,9.0,10,00:00:00,9.0,10,00:00:00,9.0,10,00:00:00,9.0,10,434:14:10,9.0,10,00:00:00
A14806839,WA,SO,98.0,100.0,96:09:33,89.0,100.0,00:00:00,74.0,85.0,00:00:00,83.0,100.0,00:00:00,8.0,15.0,00:00:00,88.0,100.0,00:00:00,55.0,70.0,00:00:00,7.0,10.0,00:00:00,30.0,47.0,00:00:00,81.0,85.0,00:00:00,2.0,10.0,00:00:00,66.0,100.0,00:00:00,61.0,75.0,00:00:00,14.0,25.0,00:00:00,44.0,100.0,00:00:00,42.0,50.0,00:00:00,7.0,10.0,00:00:00,84.0,100.0,00:00:00,63.0,87.0,00:00:00,96:09:33,22.0,25,00:00:00,71.0,75,00:00:00,75.0,75,00:00:00,10.0,10,96:09:33,9.0,10,96:09:33,10.0,10,96:09:33,10.0,10,00:00:00,10.0,10,00:00:00,10.0,10,00:00:00,10.0,10,00:00:00,10.0,10,00:00:00,10.0,10,00:00:00,10.0,10,00:00:00
A14313679,FI,SR,68.0,100.0,00:00:00,93.0,100.0,00:00:00,61.0,85.0,00:00:00,74.0,100.0,268:26:07,15.0,15.0,00:00:00,98.0,100.0,00:00:00,67.0,70.0,00:00:00,9.0,10.0,00:00:00,41.0,47.0,00:00:00,79.0,85.0,00:00:00,10.0,10.0,00:00:00,85.0,100.0,434:14:10,71.0,75.0,00:00:00,25.0,25.0,00:00:00,94.0,100.0,00:00:00,45.0,50.0,00:00:00,0.0,10.0,00:00:00,94.0,100.0,00:00:00,73.0,87.0,00:00:00,702:40:17,18.0,25,00:00:00,56.0,75,00:00:00,62.0,75,00:00:00,9.0,10,00:00:00,8.0,10,702:40:17,8.0,10,702:40:17,9.0,10,434:14:10,8.0,10,268:26:07,8.0,10,268:26:07,8.0,10,00:00:00,8.0,10,702:40:17,8.0,10,00:00:00,8.0,10,702:40:17
A14327063,FI,SR,80.0,100.0,00:00:00,52.0,100.0,00:00:00,66.0,85.0,00:00:00,92.0,100.0,00:00:00,15.0,15.0,00:00:00,,100.0,00:00:00,29.0,70.0,00:00:00,,10.0,00:00:00,47.0,47.0,00:00:00,85.0,85.0,00:00:00,,10.0,00:00:00,89.0,100.0,00:00:00,75.0,75.0,00:00:00,24.0,25.0,00:00:00,68.0,100.0,453:54:49,29.0,50.0,00:00:00,,10.0,00:00:00,83.0,100.0,00:00:00,68.0,87.0,00:00:00,644:57:10,18.0,25,00:00:00,62.0,75,00:00:00,68.0,75,00:00:00,9.0,10,644:57:10,9.0,10,00:00:00,9.0,10,00:00:00,9.0,10,00:00:00,9.0,10,00:00:00,9.0,10,00:00:00,8.0,10,00:00:00,9.0,10,00:00:00,9.0,10,00:00:00,9.0,10,00:00:00
A14755997,WA,JR,88.0,100.0,00:00:00,,100.0,00:00:00,85.0,85.0,00:00:00,75.0,100.0,267:15:40,3.0,15.0,00:00:00,85.0,100.0,38:23:00,62.0,70.0,00:00:00,8.0,10.0,00:00:00,40.0,47.0,00:00:00,85.0,85.0,504:45:26,9.0,10.0,00:00:00,95.0,100.0,00:00:00,67.0,75.0,00:00:00,24.0,25.0,00:00:00,91.0,100.0,00:00:00,44.0,50.0,00:00:00,0.0,10.0,00:00:00,89.0,100.0,00:00:00,78.0,87.0,00:00:00,810:24:06,25.0,25,267:15:40,75.0,75,00:00:00,75.0,75,38:23:00,10.0,10,00:00:00,10.0,10,00:00:00,10.0,10,00:00:00,10.0,10,00:00:00,10.0,10,00:00:00,10.0,10,00:00:00,10.0,10,00:00:00,10.0,10,00:00:00,10.0,10,00:00:00,10.0,10,00:00:00
A14548091,SI,SR,86.0,100.0,00:00:00,78.0,100.0,1089:33:59,73.0,85.0,00:00:00,60.0,100.0,00:00:14,13.0,15.0,00:00:00,82.0,100.0,47:17:58,43.0,70.0,00:00:00,9.0,10.0,00:00:00,37.0,47.0,00:00:00,79.0,85.0,00:00:00,8.0,10.0,00:00:00,100.0,100.0,00:00:00,51.0,75.0,00:00:00,25.0,25.0,00:00:00,72.0,100.0,00:00:00,40.0,50.0,00:00:00,3.0,10.0,00:00:00,97.0,100.0,00:00:00,67.0,87.0,00:00:00,1335:35:29,20.0,25,00:00:00,68.0,75,00:00:00,74.0,75,00:00:00,10.0,10,47:17:58,10.0,10,47:17:58,10.0,10,00:00:00,10.0,10,00:00:00,10.0,10,00:00:00,9.0,10,47:17:58,9.0,10,00:00:00,10.0,10,47:17:58,10.0,10,00:00:00,10.0,10,00:00:00
A14472397,SI,JR,97.0,100.0,00:00:00,89.0,100.0,00:00:00,72.0,85.0,00:00:00,90.0,100.0,00:00:00,0.0,15.0,00:00:00,66.0,100.0,48:00:29,70.0,70.0,00:00:00,4.0,10.0,00:00:00,19.0,47.0,00:00:00,67.0,85.0,00:00:00,5.0,10.0,00:00:00,70.0,100.0,00:00:00,68.0,75.0,00:00:00,17.0,25.0,00:00:00,78.0,100.0,00:00:00,29.0,50.0,00:00:00,0.0,10.0,00:00:00,72.0,100.0,00:00:00,62.0,87.0,00:00:00,48:00:29,21.0,25,00:00:00,67.0,75,00:00:00,73.0,75,48:00:29,10.0,10,00:00:00,9.0,10,00:00:00,10.0,10,00:00:00,10.0,10,00:00:00,10.0,10,00:00:00,10.0,10,00:00:00,9.0,10,00:00:00,10.0,10,48:00:29,10.0,10,00:00:00,10.0,10,00:00:00
A14169808,FI,JR,86.0,100.0,00:00:00,57.0,100.0,00:00:00,66.0,85.0,00:00:00,89.0,100.0,00:00:00,15.0,15.0,00:00:00,96.0,100.0,42:36:43,,70.0,00:00:00,,10.0,00:00:00,43.0,47.0,00:00:00,82.0,85.0,00:00:00,,10.0,00:00:00,92.0,100.0,00:00:00,73.0,75.0,00:00:00,25.0,25.0,00:00:00,54.0,100.0,00:00:00,39.0,50.0,00:00:00,0.0,10.0,00:00:00,84.0,100.0,00:00:00,70.0,87.0,00:00:00,63:51:33,18.0,25,00:00:00,60.0,75,00:00:00,66.0,75,00:00:00,9.0,10,00:00:00,10.0,10,42:36:43,9.0,10,42:36:43,9.0,10,00:00:00,9.0,10,00:00:00,9.0,10,00:00:00,9.0,10,00:00:00,9.0,10,00:00:00,9.0,10,00:00:00,9.0,10,00:00:00
